NGI ID	User ID	Mreads	>=Q30
P20708_101	HCC1187 FC 8h #1	39.33	92.93
P20708_104	HCC1187 DAPT 8h #1	37.89	92.26
P20708_107	HCC1187 Jagged1 8h #1	44.62	93.40
P20708_117	MDAMB468 FC 8h #1	38.25	93.25
P20708_118	MDAMB468 FC 8h #2	38.42	93.16
P20708_119	MDAMB468 FC 8h #3	43.77	92.86
P20708_120	MDAMB468 DAPT 8h #1	31.24	92.92
P20708_121	MDAMB468 DAPT 8h #2	31.04	92.17
P20708_122	MDAMB468 DAPT 8h #3	37.05	93.61
P20708_123	MDAMB468 Jagged1 8h #1	39.47	93.49
P20708_124	MDAMB468 Jagged1 8h #2	36.62	93.42
P20708_125	MDAMB468 Jagged1 8h #3	29.21	93.58
P20708_133	HCC70 FC 8h #1	448.14	92.14
P20708_134	HCC70 FC 8h #2	250.64	92.22
P20708_135	HCC70 FC 8h #3	23.01	93.03
P20708_136	HCC70 DAPT 8h #1	171.22	92.50
P20708_137	HCC70 DAPT 8h #2	28.04	93.09
P20708_138	HCC70 DAPT 8h #3	173.40	93.06
P20708_139	HCC70 Jagged1 8h #1	200.34	92.48
P20708_140	HCC70 Jagged1 8h #2	147.56	92.73
P20708_141	HCC70 Jagged1 8h #3	24.00	93.53
P20708_149	HCC1599 FC 8h #1	113.63	92.51
P20708_151	HCC1599 FC 8h #3	29.86	93.00
P20708_152	HCC1599 DAPT 8h #1	23.07	93.01
P20708_155	HCC1599 Jagged1 8h #1	128.14	92.86
P20708_157	HCC1599 Jagged1 8h #3	231.82	92.66
P20708_165	MDAMB436 FC 8h #1	133.77	92.58
P20708_166	MDAMB436 FC 8h #2	118.15	93.09
P20708_167	MDAMB436 FC 8h #3	26.38	93.58
P20708_168	MDAMB436 DAPT 8h #1	27.57	93.33
P20708_169	MDAMB436 DAPT 8h #2	26.08	93.80
P20708_170	MDAMB436 DAPT 8h #3	26.11	93.42
P20708_171	MDAMB436 Jagged1 8h #1	94.74	93.02
P20708_172	MDAMB436 Jagged1 8h #2	102.93	92.90
P20708_173	MDAMB436 Jagged1 8h #3	48.42	93.02
P20708_183	BT20 FC 8h #3	111.60	92.96
P20708_186	BT20 DAPT 8h #3	23.59	93.64
P20708_189	BT20 Jagged1 8h #3	103.16	93.08
P20708_201	HCC1187 FC 72h #1	23.93	93.05
P20708_204	HCC1187 DAPT 72h #1	37.74	92.92
P20708_207	HCC1187 Jagged1 72h #1	31.49	93.48
P20708_217	MDAMB468 FC 72h #1	28.54	93.22
P20708_218	MDAMB468 FC 72h #2	25.12	93.57
P20708_219	MDAMB468 FC 72h #3	23.63	93.41
P20708_220	MDAMB468 DAPT 72h #1	133.58	93.03
P20708_221	MDAMB468 DAPT 72h #2	129.04	93.14
P20708_222	MDAMB468 DAPT 72h #3	26.85	93.41
P20708_223	MDAMB468 Jagged1 72h #1	25.39	93.50
P20708_224	MDAMB468 Jagged1 72h #2	27.97	93.38
P20708_225	MDAMB468 Jagged1 72h #3	30.13	93.08
P20708_233	HCC70 FC 72h #1	27.96	93.42
P20708_234	HCC70 FC 72h #2	24.50	93.37
P20708_235	HCC70 FC 72h #3	23.10	93.30
P20708_236	HCC70 DAPT 72h #1	23.73	93.38
P20708_237	HCC70 DAPT 72h #2	31.08	93.07
P20708_238	HCC70 DAPT 72h #3	30.86	93.47
P20708_239	HCC70 Jagged1 72h #1	23.89	93.10
P20708_240	HCC70 Jagged1 72h #2	128.19	92.84
P20708_241	HCC70 Jagged1 72h #3	27.05	93.32
P20708_250	HCC1599 FC 72h #2	31.49	93.64
P20708_251	HCC1599 FC 72h #3	28.21	92.64
P20708_253	HCC1599 DAPT 72h #2	28.46	93.04
P20708_254	HCC1599 DAPT 72h #3	24.99	93.40
P20708_256	HCC1599 Jagged1 72h #2	114.46	92.92
P20708_257	HCC1599 Jagged1 72h #3	38.91	92.81
P20708_265	MDAMB436 FC 72h #1	24.68	93.44
P20708_266	MDAMB436 FC 72h #2	25.76	93.40
P20708_267	MDAMB436 FC 72h #3	23.36	93.61
P20708_268	MDAMB436 DAPT 72h #1	26.52	93.45
P20708_269	MDAMB436 DAPT 72h #2	37.62	93.45
P20708_270	MDAMB436 DAPT 72h #3	31.30	93.28
P20708_271	MDAMB436 Jagged1 72h #1	132.71	92.77
P20708_272	MDAMB436 Jagged1 72h #2	29.61	93.28
P20708_273	MDAMB436 Jagged1 72h #3	24.37	93.25
P20708_282	BT20 FC 72h #2	29.89	93.41
P20708_285	BT20 DAPT 72h #2	28.63	93.52
P20708_286	BT20 DAPT 72h #3	30.02	93.70
P20708_288	BT20 Jagged1 72h #2	30.16	93.37
P20708_289	BT20 Jagged1 72h #3	29.68	93.13
P20708_301	HCC1187 FC 72h #4	29.71	92.91
P20708_302	HCC1187 DAPT 72h #4	33.50	93.68
P20708_303	HCC1187 Jagged1 72h #4	29.31	93.26
P20708_304	HCC1187 FC 72h #6	24.62	93.37
P20708_305	HCC1187 DAPT 72h #6	147.07	92.80
P20708_306	HCC1187 Jagged1 72h #6	24.70	93.25
P20708_307	HCC1187 FC 8h #4	32.12	93.44
P20708_308	HCC1187 DAPT 8h #4	43.63	93.45
P20708_309	HCC1187 Jagged1 8h #4	27.17	93.07
P20708_310	HCC1187 FC 8h #6	32.21	93.33
P20708_311	HCC1187 DAPT 8h #6	32.54	93.32
P20708_312	HCC1187 Jagged1 8h #6	25.67	92.96
P20708_313	HCC1599 FC 72h #4	26.64	93.70
P20708_314	HCC1599 DAPT 72h #4	24.85	93.57
P20708_315	HCC1599 Jagged1 72h #4	26.63	93.41
P20708_316	HCC1599 FC 8h #4	32.27	93.42
P20708_317	HCC1599 DAPT 8h #4	27.47	92.86
P20708_318	HCC1599 Jagged1 8h #4	27.09	93.47
P20708_322	BT20 FC 72h #4	86.71	92.66
P20708_323	BT20 DAPT 72h #4	27.05	93.33
P20708_324	BT20 Jagged1 72h #4	26.68	93.25
P20708_325	BT20 FC 8h #4	34.42	93.34
P20708_326	BT20 DAPT 8h #4	28.78	93.32
P20708_327	BT20 Jagged1 8h #4	30.78	93.31
P20708_328	BT20 FC 8h #5	30.53	93.34
P20708_329	BT20 DAPT 8h #5	30.82	93.46
P20708_330	BT20 Jagged1 8h #5	29.68	93.35
